Country,iso3c,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,AFG,3.095,3.19099999999999,3.04,3.02099999999999,3.15399999999999,3.258,3.212,3.31599999999999,3.362,3.41199999999999,3.51299999999999,3.52,3.592,3.6,3.55399999999999
Albania,ALB,1.806,1.77899999999999,1.77,1.79699999999999,1.79899999999999,1.816,1.81,1.806,1.76099999999999,1.774,1.714,1.712,1.77099999999999,1.76899999999999,1.76099999999999
Algeria,DZA,2.306,2.333,2.333,2.479,2.399,2.383,2.293,2.26299999999999,2.238,2.206,2.212,2.23499999999999,2.234,2.258,2.14599999999999
Angola,AGO,2.06199999999999,2.06599999999999,2.00599999999999,2.04899999999999,2.087,2.089,2.06199999999999,1.957,1.974,1.93799999999999,1.972,1.955,1.989,2.02499999999999,1.982
Argentina,ARG,1.818,1.946,1.947,1.909,1.872,2.00099999999999,1.905,1.984,1.981,1.93599999999999,1.91399999999999,1.978,1.948,1.931,1.911
Armenia,ARM,2.196,2.21899999999999,2.229,2.193,2.194,2.198,2.13399999999999,2.157,2.105,2.177,2.228,2.121,1.952,2.016,1.992
Australia,AUS,1.349,1.37599999999999,1.387,1.439,1.497,1.451,1.38599999999999,1.359,1.38799999999999,1.41399999999999,1.42199999999999,1.427,1.42799999999999,1.485,1.56499999999999
Austria,AUT,1.347,1.365,1.357,1.395,1.364,1.28299999999999,1.26499999999999,1.233,1.22,1.298,1.26299999999999,1.249,1.25099999999999,1.318,1.3
Azerbaijan,AZE,2.28299999999999,2.31999999999999,2.342,2.34799999999999,2.36799999999999,2.456,2.38899999999999,2.394,2.38,2.434,2.41299999999999,2.37599999999999,2.144,2.286,2.43699999999999
Bahrain,BHR,1.869,1.868,1.812,2.14699999999999,2.068,2.152,2.206,2.11399999999999,2.19099999999999,2.29099999999999,2.27199999999999,2.19099999999999,2.103,2.075,2.085
